META_ID,BTV_LIKE_NCNT,BTV_NGOOD_NCNT,BTV_PNT,WATCHA_EVAL_NCNT,WATCHA_RVW_PNT,CINE21_EVAL_NCNT,CINE21_NTNZ_PNT,CINE21_CRTC_PNT
MM1000179222,,,,5,3.30,,,
MM1000208703,19,6,,82,2.18,,,
MM1000271182,7,4,,47,3.20,,,
MM1000151232,,,,19,2.29,,,
MM1000372029,679,7,,358,3.37,,,
MM1000198200,35,4,,808,2.83,,,
MM1000133246,5,2,,1,1.50,,,
MM1000326319,,,,116,3.59,,,
MM1000320708,82,9,,298,2.84,,,
MM1000171786,2,4,,6,1.50,,,
MM1000315165,,,,4,3.00,,,
MM1000119517,586,248,,157,2.27,,,
MM1000313366,5,9,,4,1.13,,,
MM1000190550,23,10,,964,2.58,,,
MM1000131454,6,4,,24,2.15,,,
MM1000326318,,,,7,2.79,,,
MM1000319827,2,5,,6,1.92,,,
MM1000321019,2,1,,4,2.63,,,
MM1000339232,166,65,,872,2.98,,,
MM1000127682,5,7,,19,2.05,,,
MM1000271013,20,5,,202,2.65,,,
MM1000218622,35,12,,262,2.60,,,
MM1000206226,,,,24,1.77,,,
MM1000103011,70,4,,93,2.74,,,
MM1000114876,9,1,,7,2.86,,,
MM1000154729,14,10,,1,0.50,,,
MM1000144963,5,6,,11,0.86,,,
MM1000316887,,,,60,3.27,,,
MM1000163168,8,2,,46,2.83,,,
MM1000314766,3,1,,87,2.88,,,
MM1000132470,45,11,,46,2.43,,,
MM1000313618,10,2,,620,3.16,,,
MM1000244848,1217,82,,552,3.02,,,
MM1000151578,2,1,,123,2.04,,,
MM1000257929,140,24,,73,1.81,,,
MM1000136895,3,3,,0,0.00,,,
MM1000150273,26,5,,182,3.55,,,
MM1000115034,13,1,,67,3.52,,,
MM1000356552,277,3,,356,3.99,,,
MM1000218824,,,,151,2.90,,,
MM1000245384,4,3,,25,2.36,,,
MM1000350156,2,1,,128,3.20,,,
MM1000320978,,,,4,4.25,,,
MM1000317637,,,,164,2.15,,,
MM1000150211,21,3,,399,2.68,,,
MM1000319674,3,3,,0,0.00,,,
MM1000251139,5,10,,8,0.63,,,
MM1000328085,,,,22,2.73,,,
MM1000218541,18,3,,18,2.67,,,
MM1000243893,4,8,,5,0.70,,,
MM1000335520,3,4,,50,3.62,,,
MM1000210407,27,9,,305,2.29,,,
MM1000308382,,,,11,3.09,,,
MM1000120747,7,8,,512,2.18,,,
MM1000168568,,,,14,2.64,,,
MM1000232904,9,1,,84,2.74,,,
MM1000142802,,,,225,3.56,,,
MM1000239051,12,6,,54,1.46,,,
MM1000314165,341,19,,17,3.32,,,
MM1000329732,41,5,,374,3.27,,,
MM1000266003,1,1,,0,0.00,,,
MM1000325026,1,4,,,,,,
MM1000322083,18,2,,122,2.34,,,
MM1000318576,,,,1,1.00,,,
MM1000358727,6,2,,145,2.73,,,
MM1000287763,130,9,,48,2.31,,,
MM1000318568,8,3,,228,2.42,,,
MM1000158332,496,25,,2360,3.28,,,
MM1000115704,65,6,,54,2.42,,,
MM1000278711,6,3,,214,3.54,,,
MM1000143770,25,6,,396,2.23,,,
MM1000184645,,,,10,2.50,,,
MM1000170109,6,1,,109,3.28,,,
MM1000328693,2,2,,3,2.83,,,
MM1000156905,,,,3,3.17,,,
MM1000319509,8,0,,0,0.00,,,
MM1000166215,3,2,,2,0.75,,,
MM1000305499,10,2,,72,2.65,,,
MM1000295628,44,6,,144,2.64,,,
MM1000181756,13,3,,,,,,
MM1000319644,172,22,,111,2.96,,,
MM1000126283,3,4,,4,0.75,,,
MM1000170781,9,1,,108,3.13,,,
MM1000160436,,,,224,3.13,,,
MM1000239043,103,17,,19,2.47,,,
